,,,,
Experiment/Run,Lab,Item Name,Item ID,Status
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY928int_Colony_1_Day_1,CY928int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY671int_Colony_1_Day_1,CY671int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY960-CY663int_Colony_1_Day_1,CY960-CY663int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY963-CY609int_Colony_1_Day_1,CY963-CY609int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY965-CY668int_Colony_1_Day_1,CY965-CY668int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY966-CY653int_Colony_1_Day_1,CY966-CY653int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY968-CY661int_Colony_1_Day_1,CY968-CY661int_Colony_1_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,BY4741_Colony_2_Day_1,BY4741_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYE72_Colony_2_Day_1,CYE72_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY637int_Colony_2_Day_1,CY637int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY638int_Colony_2_Day_1,CY638int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY928int_Colony_2_Day_1,CY928int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY671int_Colony_2_Day_1,CY671int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY960-CY663int_Colony_2_Day_1,CY960-CY663int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY963-CY609int_Colony_2_Day_1,CY963-CY609int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY965-CY668int_Colony_2_Day_1,CY965-CY668int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY966-CY653int_Colony_2_Day_1,CY966-CY653int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY968-CY661int_Colony_2_Day_1,CY968-CY661int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,BY4741_Colony_3_Day_1,BY4741_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYE72_Colony_3_Day_1,CYE72_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY637int_Colony_3_Day_1,CY637int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY638int_Colony_3_Day_1,CY638int_Colony_3_Day_1,
